N1,N2,N3,ini_d1,ini_d2,ini_d3,sl_str,aud_str,strat1,strat2,fin_d1,fin_d2,fin_d3,fin_b1,fin_b2,fin_b3
1,5,4,4,4,4,0.25,0.25,5,5,4.375,3.9375,3.640625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.53125,4.4375,4.140625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.0625,4.15625,3.921875,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,4,5.46875,5.1875,4.109375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,4,3.34375,4.9375,2.890625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.90625,4.09375,4.15625,4.0,1.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.84375,4.625,4.265625,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.5,3.9375,3.53125,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.3125,3.78125,4.0625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.28125,3.90625,3.6875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.5,4.1875,3.703125,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.0625,4.375,5.609375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.46875,5.53125,5.765625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,5.3125,4.1875,4.90625,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,5,6.9375,4.78125,5.921875,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.3125,4.0,3.640625,4.0,1.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.28125,5.71875,4.453125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,4,5.0,4.625,3.546875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,6,4,2.9375,6.78125,3.453125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,17.5,10.25,20.75,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,13.5,9.5,18.375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,4,9.375,8.125,5.3125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,18.5,8.5,18.8125,4.0,2.25,4.0
1,5,4,4,4,4,0.25,1,5,5,15.75,8.5,17.4375,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,16.75,7.5,16.1875,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,6,5,7.25,14.875,5.875,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,14.875,6.5,15.8125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,4,15.0,13.25,9.4375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,5.75,6.0,6.1875,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,5.0,6.125,6.5625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,18.625,8.0,17.125,4.0,1.25,4.0
1,5,4,4,4,4,0.25,1,5,5,17.125,8.5,13.875,4.0,2.0,4.0
